identifier,remarks,default enu eng,de,it
NOTE_TXT_ANTIDOTE,,"14th September, 1916\n\nEsteemed Professor Steiner,\n\nThe number of attacks outside the city are increasing. As if this wasn't bad enough, we in the emergency room are overwhelmed and can no longer help most of our patients.\n\nWe've discovered an extremely vile and unknown poison transmitted by the creatures from the woods, and since the Cowls have confiscated our entire supply of medicine, including much needed antidotes that may help slow down the effects of the poison... our hands are tied.\n\nWe can only palliate, no longer save anyone.\n\nSophie Trudeaux","14. September 1916\n\nGeehrter Professor Steiner, die Zahl der Angriffe außerhalb der Stadt nimmt zu. Als ob das nicht schon schlimm genug wäre, stellen wir in der Notaufnahme fest, dass wir den meisten Bewohnern nicht mehr helfen können. Dies scheint auf eine besondere Art von Gift zurückzuführen zu sein, das die Kreaturen übertragen, und da die Kultisten alle Vorräte an Gegenmitteln aus den Beständen des Krankenhauses beschlagnahmt haben, sind uns die Hände gebunden. Wir können nur noch lindern, niemanden mehr retten.\n\nUnterschrieben,\nSophie Trudeaux",
NOTE_SPIDERQUEEN1,,Richter's dying wish,Richters letzter Wunsch,Ultimo desiderio di Richter
NOTE_TXT_SPIDERQUEEN1,,"Those cursed Darkmoon heretics have won at every turn.\n\nIt all started when that sleazy Willard fellow moved into town. Said he was a singer. I'll have to admit, he does indeed have a nice voice. Sang regularly at the pub, made every girl in town head over heels for him. Never liked that sly face of his one bit. My girl, Alianna, said I was too insecure, too jealous. Was a man supposed to not say anything when he finds his fiancee spending an increasingly unhealthy amount of time at the pub?\n\nFollowed my instincts and decided to investigate the sleazeball one night. What I learned then was not meant for the faint of heart. I knew that man was trouble, but I didn't expect him to be a member of the Darkmoon cult! Those bastards are pure evil. Murder, abductions, demon worship... you name it. They've done it. I overheard their plan to capture as many women as possible to... the things they said they'd do to those women... my God, absolutely vile!\n\nNaturally, after telling Alianna about my findings, she dismissed me. We got into a quarrel, and as our misfortune would have it - Willard and several Darkmoon thugs broke our front door and forcefully took my Alianna away. Alas, my efforts to resist the brutes were in vain, for they have bested me. I now sit here as my life's blood continue to drain out of my body.\n\nTo the person who finds this letter... please find my beautiful Alianna... I dread to think of what those Godless Darkmoon heretics will do to her. Please... I beg of you...","Diese verfluchten Dunkelmond-Ketzer haben Zug um Zug gewonnen. Es fing alles an, als dieser schäbige Willard in die Stadt kam. Er sagte, er sei ein Sänger. Ich muss zugeben, er hat tatsächlich eine schöne Stimme. Hat regelmäßig im Pub gesungen, jedes Mädchen in der Stadt war in ihn verliebt. Ich mochte sein verschlagenes Gesicht noch nie. Meine Freundin Alianna sagte, ich sei zu unsicher, zu eifersüchtig. Sollte ein Mann nichts sagen, wenn er merkt, dass seine Verlobte immer mehr Zeit in der Kneipe verbringt?\n\n Ich folgte meinem Instinkt und beschloss, den Widerling eines Abends zu überprüfen. Was ich dann erfuhr, war nichts für schwache Nerven. Ich wusste, dass dieser Mann Ärger bedeutet, aber ich hätte nicht erwartet, dass er ein Mitglied der Dunkelmond-Sekte ist! Diese Bastarde sind das pure Böse. Mord, Entführung, Dämonenanbetung... was auch immer. Sie haben es getan. Ich habe ihren Plan belauscht, so viele Frauen wie möglich zu fangen, um... die Dinge, von denen sie sagten, dass sie sie diesen Frauen antun würden... mein Gott, absolut abscheulich!\n\nNatürlich hat sie mich verlassen, nachdem ich Alianna von meinen Erkenntnissen erzählt hatte. Wir gerieten in einen Streit, und wie es der Zufall wollte, brachen Willard und mehrere Dunkelmond-Schläger unsere Haustür auf und nahmen meine Alianna gewaltsam mit. Leider waren meine Bemühungen, mich den Schurken zu widersetzen, vergeblich, denn sie haben mich besiegt. Jetzt sitze ich hier, während das Blut Tropfen für Tropfen meinen Körper verlässt. An die Person, die diesen Brief findet... bitte findet meine wunderschöne Alianna... Ich fürchte mich vor dem Gedanken, was diese gottlosen Kutten ihr antun werden. Bitte... ich flehe euch an...",
NOTE_SPIDERQUEEN2,,Alianna's letter,Aliannas Brief,Lettera di Arianna
NOTE_TXT_SPIDERQUEEN2,,"Richter, my love... I should have listened to you... the wicked Cowls have kept me locked in here without food and water for what seems like an eternity now.\n\nThey torture and violate me every single day, and after they're done with me, they would offer me a strange glowing vial and try to force me to drink it. As long as I refuse to drink it, they would continue to do as they please with me.\n\nI don't know how long I can take this anymore, Richter. Sometimes, Willard would come talk to me. He seems to know a lot about dark powers, and would tell me that my pain will end if just do as I'm told.\n\nRichter, I'm so hungry and thirsty... I'm alone, I'm afraid, and I'm broken... I miss you, Richter... I regret not listening to you...\n\nForever yours,\n\nAlianna","Richter, mein Liebster... Ich hätte auf dich hören sollen... die bösen Kultisten halten mich hier schon seit einer gefühlten Ewigkeit ohne Nahrung und Wasser gefangen.\n\nSie foltern und vergewaltigen mich jeden Tag, und wenn sie mit mir fertig sind, bieten sie mir eine seltsame glühende Phiole an und versuchen, mich zu zwingen, sie zu trinken. Solange ich mich weigere, es zu trinken, können sie mit mir machen, was sie wollen. Ich weiß nicht, wie lange ich das noch ertragen kann, Richter. Manchmal kam Willard, um mit mir zu reden. Er scheint viel über dunkle Mächte zu wissen und sagt mir, dass meine Schmerzen aufhören werden, wenn ich nur tue, was man mir sagt.\n\nRichter, ich bin so hungrig und durstig... Ich bin allein, ich habe Angst, und ich bin gebrochen... Ich vermisse dich, Richter... Ich bereue, dass ich dir nicht zugehört habe...\n\nFür immer dein,\n\nAlianna",
NOTE_WILLARD,,Willard's journal,Willards Tagebuch,Giornale di Willard
NOTE_TXT_WILLARD,,"October 11th\n\nHeard Mr Edison managed to steal the library key from the mayor. Weird fellow. Spends so much time in the billiard room. Not sure why.\n\nOctober 30th\n\nDamn wench continues to refuse the potion of transcendence. They told me to use my charm to convince her. I'm not getting paid enough for this.\n\nNovember 7th\n\nShe's started opening up to me. Kind of growing fond of her. But the will of the dark lord must be obeyed. Don't think it's right what they've been doing to her, though. I'd never lay a finger on her.\n\nNovember 13th\n\nHate to say it, but I think I'm in love. She seems to have taken a deep interest in our dark lord. Told her about the inner sanctum deep within the hospital, and the book of Thamuz. Paradise is upon us and soon she will become one of our finest warriors. Made a copy of the key to the sanctum and gave it to her. Not sure why. It's not like she can leave this place anyway.\n\nDecember ... I think\n\nButchered every last one of us. Tried to contain her within the chamber but it's no use. Don't have much time left. Feels like the poison's up to my eyeballs now. Damned bitch... should have defiled that sweet body of hers when I had the chance... when... before she became... swjemnfd...","11. Oktober\n\nHabe gehört, dass Mr. Edison es geschafft hat, den Bibliotheksschlüssel des Bürgermeisters zu stehlen. Seltsamer Kerl. Verbringt so viel Zeit im Billardzimmer. Keine Ahnung, warum. \n\n30. Oktober\n\nDas verdammte Frauenzimmer weigert sich weiterhin, den Trank der Transzendenz zu nehmen. Sie sagten mir, ich solle meinen Charme einsetzen, um sie zu überzeugen. Für was werde ich überhaupt bezahlt? \n\n7. November\n\n Sie hat angefangen, sich mir gegenüber zu öffnen. Ich fange irgendwie an, sie zu mögen. Aber ich darf den dunklen Herren nicht enttäuschen, ich habe eine Aufgabe. Ich glaube allerdings nicht, dass es richtig ist, was sie mit ihr gemacht haben. Ich würde ihr nie ein Haar krümmen. \n\n13. November \n\nIch sage es nur ungern, aber ich glaube, ich bin verliebt. Sie scheint auf der anderen Seite eine tiefgehende Zuneigung an unserem Herren gefunden zu haben. Ich erzählte ihr vom inneren Heiligtum unterhalb des Krankenhauses und dem Buch von Thamuz. Das Paradies steht uns bald offen, und sie wird unserer beste Kriegerin sein. Ich habe den Schlüssel zum Heiligtum kopiert und gab ihn ihr. Ich weiß nicht, warum. Es ist ja nicht so, dass sie diesen Ort verlassen kann.\n\nDezember...\n\nIch glaube, sie hat jeden einzelnen von uns abgeschlachtet. Ich habe versucht, sie in der Kammer einzuschließen, aber es ist sinnlos. Wir haben nicht mehr viel Zeit. Fühlt sich an, als würde das Gift schon jeden Bereich meines Körpers zersetzen... Verdammte Schlampe... ich hätte sie nehmen sollen, als ich die Chance dazu hatte... als... bevor sie zu... aejvgwek...",
NOTE_ENDING,,Aftermath of Thamuz // [No longer used],Folgen von Thamuz,NOT USED
NOTE_TXT_ENDING,,"With their puppet-master vanquished, the legions of Thamuz topple and fall as though made of straw. Peace returns to the streets and alleys that were once swarming with vile sorcery. The wretched siren, that terrible harbinger of evil, will sound no more. The city is silent at last.\n\nBloodied and exhausted, you have witnessed more than enough slaughter for one night. Death seems to stalk you like a shadow, and here in this damned city he has made his presence surely felt. Slowly you pass through the city gates, and are soon vanished into the night. You will continue to roam the outlands, searching for a peace that never comes - for no matter where you may go, chaos will soon follow.\n\nAs for those of us left behind here... though the Arch-Demon may have fallen, the Darkmoon cult still survives. In time they will regain their strength and numbers, posed to cast a shroud of evil over the land one more. We can only pray for another lone hero, in the right place and time, to bring light to the darkness.\n\nFor us, the day of reckoning has merely been postponed. // [No longer used]","Nachdem der Puppenspieler besiegt wurde, fallen die Legionen von Thamuz wie Stroh zu Boden. Frieden kehrt ein in die Straßen und Gassen, in denen es einst von abscheulicher Magie wimmelte. Die furchtbaren Sirenen, diese schrecklichen Vorboten des Bösen, werden nicht mehr ertönen. Die Stadt ist endlich friedlich.\n\nBlutüberströmt und erschöpft hast du mehr als genug Gemetzel für eine Nacht erlebt. Der Tod scheint dich wie ein Schatten zu verfolgen, und hier in dieser verdammten Stadt hat er deine Anwesenheit deutlich zu spüren bekommen. Langsam durchschreitest du die Stadttore und bist bald in der Nacht verschwunden. Du wirst weiterhin durch die Wildniss streifen, auf der Suche nach einem Frieden, der niemals kommt - denn egal, wohin du auch gehst, das Chaos wird dir bald folgen.\n\n Was diejenigen von uns angeht, die hier zurückgeblieben sind... obwohl der Erzdämon gefallen sein mag, überlebt der Kult des Dunkelmonds noch immer. Mit der Zeit werden sie wieder stärker und zahlreicher werden, um ein weiteres Mal ein Leichentuch des Bösen über das Land zu legen. Wir können nur beten, dass wieder ein Held zur rechten Zeit am rechten Ort ist, um Licht in die Dunkelheit zu bringen. Für uns ist der Tag der Abrechnung lediglich aufgeschoben worden.",
,Journal UI,,,
JRNL_OBJECTIVE_ADDED,,New objective: %s,Neues Ziel: %s,Nuovo obbiettivo: %s
JRNL_OBJECTIVE_COMPLETE,,Objective completed: %s,Ziel erreicht: %s,Obbiettivo-i completato-i: %s
JRNL_OBJECTIVE_FAIL,,Objective completed: %s,Ziel nicht erreicht: %s,Obbiettivo-i completato-i: %s
JRNL_OBJECTIVES,,Objectives,Ziele,Obbiettivi
JRNL_NOTES,,Notes found,Gefundene Hinweise,Note trovate
JRNL_CLICKABLEFRAME_EMPTY,,Empty,Leer,Vuoto
,Tutorial,,,
TUT_JOURNAL,,"Within these strange lands, one might easily\nsuccumb to the surrounding madness.\n\nIn order to stay sane, I shall record\nmy thoughts and findings in my trusty journal,\nwhich I can view at any time\nby pressing \c[GOLD]%s\c-.\n\n(Press Escape to continue)","In diesen fremden Landen kann man\nleicht dem Wahnsinn verfallen\n, der einen umgibt. Nur um gesund zu bleiben, \nwerde ich meine Gedanken und Erkenntnisse \nin meinem treuen Tagebuch festhalten, das ich \njederzeit durch Drücken von \c[GOLD]%s\c- betrachten kann.\n\n(Drücke Escape, um fortzufahren)",
ENDTEXT,,"It is over.,\n,What's left is an abandoned and desolate,city in the silence of the dark night.,\n,Thamuz is dead and only his green and,gloomy remains witness his short visit,to our world.,\n,By killing the arch-demon you also,\n,banished his minions back to where from,\n,they came.","Es ist vorbei.\nWas bleibt, ist eine verlassene und verödete Stadt in der Stille der dunklen Nacht.\nThamuz ist tot und nur seine grün-schimmernden und düsteren Überreste zeugen von seinem kurzen Besuch in unserer Welt.\nIndem du den Erzdämon getötet hast, hast du auch\nseine Gefolgsleute dorthin zurückverbannt, woher sie gekommen sind.",
NASH_MSG,,Nash Muhandes says:\n\nHope you enjoy this remaster as much as I did\ndeveloping it.\n\nThank you Realm667 for giving me this opportunity.\n\nP.S wishlist my game \c[RED]DISDAIN\c- on Steam. Do it.,"Nash Muhandes sagt:\n\nIch hoffe, ihr habt genauso viel Spaß an diesem Remaster wie ich bei der Entwicklung.\n\nDanke an Realm667, dass ihr mir diese Möglichkeit gegeben habt.\n\nPS: Packt mein Spiel \c[RED]DISDAIN\c- auf Steam auf eure Wunschliste. Tu es!",
ENDCREDITS,,"\c[WHITE]The City of the Damned 2: Apocalypse Remastered\c-\n\nA \c[RED]Realm667\c- Production\n\n\c[ORANGE]PRODUCER\c-\nDaniel ""Tormentor667"" Gimmer\n\n\c[ORANGE]REMASTER TEAM\c-\n\n\c[ORANGE]REMASTER LEAD PRODUCER\c-\nNash Muhandes\n\n\c[ORANGE]LEVEL DESIGN\c-\nDaniel ""Tormentor667"" Gimmer\nNash Muhandes\n\n\c[ORANGE]ADDITIONAL LEVEL DESIGN\c-\nTiberium Soul\n\n\c[ORANGE]PROGRAMMING, ADDITIONAL ART AND CONTENT\c-\nNash Muhandes\nBlue Shadow\n\n\c[ORANGE]ADDITIONAL PROGRAMMING\c-\nGothic-HP\n\n\c[ORANGE]ASSET OPTIMIZATION, ADDITIONAL CODE\c-\nOzymandias81\n\n\c[ORANGE]COOP/NETWORK SUPPORT\c-\nNash Muhandes\n\n\c[ORANGE]ADDITIONAL ASSETS\c-\nAFADoomer\nDaniel ""Cheello"" Peterson\nDoomJedi\nDrugod\nMagicWazard\nRolls3D\n\n\c[ORANGE]PLAYTESTING\c-\nBoondorl\nDark-Assassin\nMifu\nSuperWillGaming\nTabijaky\n\n\c[ORANGE]LEGACY CREDITS (2007 VERSION)\c-\n\nChaosCentral\nCutmanmike\nDBThanatos\nEriance\nGez\nGraf Zahl\nHotWax\nJekyll Grim Payne\nKeksDose\nMechadon\nNeoworm\nNigel ""Enjay"" Rowand\nNightFright\nPerkristian\nRisen\nScuba Steve\nShtbag555\nSkippy\nSnowKate\nTheDarkArchon\nVader\nWildWeasel\n\n\n\n\n\n\n\n\n\nTHE END...","\c[WHITE]Die Stad der Verdammten 2: Apokalypse Remastered\c-\n\nA \c[RED]Realm667\c- Produktion\n\n\c[ORANGE]ORIDUZENT\c-\nDaniel ""Tormentor667"" Gimmer\n\n\c[ORANGE]REMASTER TEAM\c-\n\n\c[ORANGE]REMASTER PRODUKTIONSLEISTUNG\c-\nNash Muhandes\n\n\c[ORANGE]LEVEL DESIGN\c-\nDaniel ""Tormentor667"" Gimmer\nNash Muhandes\n\n\c[ORANGE]ZUSÄTZLICHES LEVEL DESIGN\c-\nTiberium Soul\n\n\c[ORANGE]PROGRAMMIERUNG, ZUSÄTZLICHE GRAFIKEN UND INHALTE\c-\nNash Muhandes\nBlue Shadow\n\n\c[ORANGE]ZUSÄTZLICHE PROGRAMMIERUNG\c-\nGothic-HP\n\n\c[ORANGE]OPTIMIERUNG, ZUSÄTZLICHER CODE\c-\nOzymandias81\n\n\c[ORANGE]COOP/NETZWERK UNTERSTÜTZUNG\c-\nNash Muhandes\n\n\c[ORANGE]ZUSÄTZLICHE ELEMENTE\c-\nAFADoomer\nDaniel ""Cheello"" Peterson\nDoomJedi\nDrugod\nMagicWazard\nRolls3D\n\n\c[ORANGE]SPIELTESTS\c-\nBoondorl\nDark-Assassin\nMifu\nSuperWillGaming\nTabijaky\n\n\c[ORANGE]URSPRÜNGLICHE CREDITS (2007ER VERSION)\c-\n\nChaosCentral\nCutmanmike\nDBThanatos\nEriance\nGez\nGraf Zahl\nHotWax\nJekyll Grim Payne\nKeksDose\nMechadon\nNeoworm\nNigel ""Enjay"" Rowand\nNightFright\nPerkristian\nRisen\nScuba Steve\nShtbag555\nSkippy\nSnowKate\nTheDarkArchon\nVader\nWildWeasel\n\n\n\n\n\n\n\n\n\nDAS ENDE...",
